"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss32_4","-82.52","2.95","2.07","2.06","2.43","2.76","3.38","2.48","1.59","0.6","0.46","1.02","1.16","0.31","-0.36","-0.81","-3.0","-4.14","-2.01","0.36","-1.89","-3.11","-2.9","-2.68","-1.34","-1.74"
"length_rss32_5","-78.75","1.68","1.21","1.78","3.64","3.16","1.83","1.02","0.19","0.18","-0.16","0.51","2.18","2.08","0.72","-0.31","-1.52","-2.25","-1.71","-0.88","-1.23","-1.75","-2.32","-3.64","-3.26","-3.84"
"length_rss32_6","-84.55","-4.4","-3.03","-0.15","0.46","0.37","0.11","-1.1","-1.05","-0.33","0.71","1.79","1.97","2.26","1.51","1.76","1.92","0.76","0.58","1.05","0.99","1.29","0.32","-0.53","-2.03","-4.89"
"length_rss32_7","-76.56","2.35","2.3","1.9","1.12","1.56","2.26","3.06","3.13","2.12","2.58","1.71","-0.05","-2.39","-3.65","-2.96","0.12","0.79","-0.57","-2.13","-1.57","-1.87","-1.62","-2.56","-3.19","-4.06"
"length_rss32_8","-72.3","-1.09","-4.55","-4.92","-1.78","1.95","3.64","4.34","3.12","0.98","0.24","0.11","-0.18","-0.63","-0.19","-0.79","-0.91","-0.13","-0.38","-1.54","-0.86","-0.15","0.17","1.12","0.55","-1.97"
"length_rss32_9","-73.87","-1.31","-2.73","-3.47","-2.98","-3.24","-2.67","-2.22","-2.37","-2.19","-2.04","-4.2","-3.76","-1.78","-1.02","-0.82","0.66","2.39","2.96","2.4","3.64","3.16","4.11","5.83","6.56","4.9"
"length_rss32_10","-77.56","-4.3","-1.73","0.6","0.2","-0.02","0.16","0.96","1.51","2.12","2.22","2.39","1.92","0.35","-0.08","0.48","0.63","0.56","0.17","-0.58","-1.47","-1.86","-1.57","-1.3","-0.7","-0.17"
"length_rss32_11","-80.15","-2.73","-3.0","-3.63","-4.36","-3.98","-2.16","1.17","1.62","-1.1","-0.62","0.8","3.14","2.51","1.13","1.63","1.64","0.86","-0.3","1.16","2.42","2.82","2.11","0.87","-0.78","-1.39"
"length_rss32_12","-81.01","0.22","-0.81","-0.62","-0.9","-2.07","-1.79","-1.37","-1.51","-1.67","-1.95","-1.77","-0.43","0.47","0.71","0.69","1.52","1.73","1.36","1.4","1.76","1.32","0.96","0.18","0.54","0.71"
"length_rss32_13","-78.62","1.86","1.59","2.63","3.29","3.81","4.12","4.8","4.47","2.96","2.64","2.18","0.95","0.43","0.22","-0.25","-0.07","0.78","-0.68","-1.55","-3.06","-4.63","-5.94","-6.69","-7.39","-7.08"
