"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss14_19","-82.86","-2.86","-1.79","-1.02","-0.3","-0.22","-1.51","-1.91","-2.05","-2.23","-2.61","-2.04","-1.04","-0.44","0.29","0.73","1.27","1.81","1.7","2.44","1.87","1.52","1.58","2.1","1.39","1.36"
"length_rss14_20","-50.15","7.14","6.11","4.85","3.52","4.11","4.29","2.45","0.85","2.23","2.55","-0.13","-0.04","1.46","-0.39","0.04","-0.33","-2.14","-2.58","-3.54","-3.86","-4.16","-4.56","-5.26","-6.65","-7.48"
"length_rss15_1","-75.33","0.62","1.37","1.01","0.42","-0.26","-0.68","-1.99","-2.08","-0.94","-0.52","0.23","1.06","1.64","1.19","-0.31","-0.71","-0.81","-0.15","-0.1","-0.16","0.11","0.13","-0.46","-0.43","0.0"
"length_rss15_2","-73.65","0.82","1.04","0.59","0.4","0.54","0.54","0.87","2.84","2.38","2.61","2.73","1.47","1.49","1.24","0.99","-0.0","-2.59","-2.74","-2.6","-2.78","-2.04","-1.53","-2.29","-2.96","-2.32"
"length_rss15_3","-71.55","-1.32","-1.92","-2.72","-3.64","-5.23","-6.63","-3.12","-0.76","-0.83","0.18","0.98","0.33","-0.81","-1.58","0.69","0.58","1.42","3.61","4.43","5.3","2.62","0.52","1.9","2.52","2.57"
"length_rss15_4","-75.83","-1.98","1.0","0.23","-0.5","0.01","1.26","0.75","-1.96","-1.79","-0.4","-2.81","-1.33","2.05","2.6","1.66","-0.1","-0.18","0.05","0.84","2.16","0.9","-0.52","0.45","-0.24","-0.76"
"length_rss15_5","-76.7","0.59","0.42","0.64","-0.4","-0.01","0.27","-1.18","-0.69","0.54","1.01","1.76","0.63","-0.98","0.39","1.53","1.14","-0.12","0.14","-1.48","-2.0","-1.27","-0.62","0.18","-0.26","0.18"
"length_rss15_6","-73.88","-2.45","-2.76","-2.67","-2.57","-1.86","-1.9","-2.88","-3.28","-1.57","-1.54","-1.16","-1.23","-0.48","0.3","-0.78","-0.88","-0.81","-0.45","1.15","2.74","3.55","5.11","4.69","5.54","5.62"
"length_rss15_7","-81.76","-2.18","-1.02","-0.63","0.99","-0.72","-2.13","-3.07","-2.56","-1.77","-1.96","-0.94","-0.36","-0.52","-0.49","-0.56","0.12","0.12","-0.1","-0.69","-0.18","-0.25","-0.47","-0.2","-0.78","-0.81"
"length_rss15_8","-86.53","4.15","5.03","4.83","3.28","1.3","0.56","-5.02","-4.46","-3.14","-1.22","0.4","-0.23","-2.69","-2.91","-0.47","-0.06","0.83","0.19","0.43","0.2","-1.59","-2.03","-1.06","-2.43","-4.21"
"length_rss15_9","-83.09","-2.81","-2.88","-1.22","0.18","-0.18","-0.5","0.09","0.31","0.75","1.02","2.53","3.23","2.0","2.03","0.69","-0.09","-0.61","-0.85","-0.54","-2.04","-2.87","-3.1","-4.22","-3.4","-3.58"
"length_rss15_10","-84.46","1.92","2.32","1.69","1.61","-0.05","-0.72","-1.23","-2.89","-2.41","-0.82","-0.27","-0.74","-0.91","0.32","-0.19","-0.56","-1.01","-0.73","-0.14","-0.53","-0.53","-0.64","-1.18","-0.98","-0.43"
"length_rss15_11","-84.96","-2.93","-3.23","-1.53","-2.51","-2.51","-0.98","0.62","3.74","-0.69","-2.09","-2.6","-2.57","-1.41","-0.78","-1.09","-0.79","-0.96","-0.16","1.48","1.67","2.0","2.61","4.18","4.3","3.74"
"length_rss15_12","-91.22","1.55","1.98","-0.09","-0.57","0.57","-1.03","-1.09","-0.93","-0.64","0.71","0.09","-1.32","-0.91","-0.52","-0.6","-0.03","0.99","1.42","0.11","0.08","-0.23","-0.91","0.88","-0.94","-0.28"
"length_rss15_13","-87.7","1.14","0.96","1.02","0.49","1.94","2.51","1.35","1.28","1.36","1.46","0.88","0.45","0.82","0.76","0.57","-0.09","-1.27","-1.8","-0.95","-0.14","-0.22","-2.41","-3.6","-6.57","-7.77"
"length_rss15_14","-84.23","-3.69","-1.75","-0.59","-3.11","-3.67","-2.06","-0.08","1.32","1.38","-0.23","-2.33","-4.38","-5.25","-4.15","-1.14","0.53","1.05","-0.87","-0.51","0.48","2.0","4.79","6.51","7.89","6.16"
"length_rss15_15","-66.25","3.11","3.12","3.24","2.91","2.66","1.46","1.49","1.78","1.89","4.53","8.17","6.86","2.04","0.23","1.53","1.09","0.5","-0.21","-1.84","-5.89","-8.88","-9.19","-8.12","-7.64","-9.75"
"length_rss15_16","-68.21","-10.91","-8.35","-9.52","-14.01","-11.49","-6.94","-7.12","-4.82","0.72","1.52","2.25","0.49","0.08","2.71","3.28","2.13","3.06","3.72","4.63","5.6","8.8","7.94","6.85","7.2","6.58"
"length_rss15_17","-65.29","9.67","9.19","9.07","12.24","8.49","5.54","6.01","4.75","3.77","4.18","2.99","-2.12","-4.03","-5.22","-10.26","-10.03","-9.02","-10.93","-9.89","-8.84","-7.56","-5.12","-0.93","4.2","4.64"
"length_rss15_18","-79.64","-0.86","-0.83","-1.94","-1.38","-2.06","-1.63","-0.63","-0.28","-0.4","-0.83","-0.43","-0.31","-0.48","-0.57","0.27","1.06","0.99","0.91","0.99","0.88","1.07","1.64","1.67","0.62","0.61"
"length_rss15_19","-92.61","-1.66","-0.75","0.33","-0.59","-2.03","-1.97","-1.78","-0.3","-1.44","-1.71","-1.57","-0.36","0.29","0.68","1.1","1.42","1.43","1.36","1.76","1.68","1.46","1.62","1.37","1.14","2.0"
"length_rss15_20","-52.44","-3.83","-3.97","-3.84","-2.43","-0.4","1.07","3.88","3.14","2.05","2.2","1.83","1.82","3.39","2.69","1.81","1.5","-0.13","-2.69","-3.7","-3.0","-2.27","-2.75","-3.72","-1.89","0.34"
"length_rss16_1","-68.51","0.23","0.59","0.48","0.42","0.69","0.87","1.33","1.23","1.16","1.05","0.1","-1.27","-2.96","-3.45","-2.92","-2.03","-0.18","1.64","0.84","-0.09","0.46","0.23","0.82","0.7","-0.79"
"length_rss16_2","-65.55","4.01","4.46","5.23","4.79","2.13","0.7","1.87","3.38","3.38","3.35","2.93","2.35","2.09","2.04","-1.54","-5.19","-4.26","-2.25","-1.53","-3.28","-4.67","-4.55","-4.91","-5.65","-5.41"
"length_rss16_3","-64.79","-1.99","-0.18","0.49","1.84","1.65","-0.07","-0.96","-0.73","-1.97","-0.79","0.66","0.65","2.56","2.17","1.19","3.07","2.37","-1.0","-3.57","-3.82","-3.13","-1.49","-0.07","0.44","1.39"
"length_rss16_4","-68.01","0.39","-0.17","-1.89","-2.03","-2.43","-2.75","-3.32","-4.21","-4.03","-1.85","2.01","1.85","0.27","-0.89","-0.35","1.1","0.75","0.06","-0.38","1.15","2.96","3.16","2.65","2.7","3.08"
"length_rss16_5","-69.81","1.61","1.86","1.48","0.19","-0.49","0.59","1.98","2.03","0.77","0.32","0.3","0.26","1.06","1.69","0.71","-0.94","-0.36","-0.6","-1.05","-2.44","-2.83","-2.43","-1.23","-1.67","-0.52"
"length_rss16_6","-63.7","-2.2","0.61","1.12","-0.86","-1.62","-1.47","-1.85","-2.22","-1.07","-0.95","-1.15","-1.01","-0.8","-0.95","-1.78","-1.51","-2.64","-3.42","-0.82","2.15","3.28","4.04","4.14","4.86","5.13"
"length_rss16_7","-72.32","-4.09","-3.47","-3.38","-3.08","-1.47","-1.58","-2.15","-2.26","-1.86","-1.02","-0.36","0.45","1.51","1.99","2.61","2.41","1.75","1.36","1.39","1.48","1.3","1.93","1.77","1.48","2.23"
"length_rss16_8","-76.21","3.09","3.05","1.02","-0.88","-0.25","-0.58","-1.75","-1.33","-0.18","-1.31","-1.05","0.87","1.44","-0.27","0.87","0.92","0.18","-0.83","-1.81","-0.48","-1.57","-0.67","0.28","-0.45","-1.08"
"length_rss16_9","-73.87","-0.47","1.13","-0.37","-2.3","0.16","2.95","3.37","3.18","3.56","1.02","-0.28","1.09","2.6","2.31","1.05","0.37","1.26","-0.61","-1.93","-2.34","-2.49","-3.39","-4.16","-3.65","-2.92"
"length_rss16_10","-76.55","0.53","0.81","1.34","0.66","-0.7","-1.11","-0.63","-0.51","0.33","0.78","-0.06","-0.92","-0.73","-0.65","-0.52","-0.38","-0.56","-0.36","0.12","0.43","0.51","0.29","0.09","0.71","0.34"
"length_rss16_11","-81.38","-3.14","-4.87","-4.69","-2.12","-1.0","-2.17","-4.71","-4.85","-3.77","-1.18","1.36","0.44","-0.6","-1.37","-0.9","0.01","1.76","3.22","3.02","2.75","2.63","3.31","4.56","5.02","4.11"
"length_rss16_12","-85.46","1.17","1.0","0.45","-0.23","-0.44","-1.19","-1.88","-1.92","-1.09","-0.82","-0.89","-0.68","-0.51","0.02","0.5","0.61","0.75","0.73","0.04","-0.16","0.84","0.51","0.08","-0.82","-1.89"
"length_rss16_13","-81.1","3.15","2.39","1.8","1.02","-0.07","-0.46","-0.12","-0.76","-1.45","-1.32","-0.15","0.5","0.13","1.16","1.46","0.58","0.17","0.65","1.56","0.86","-1.33","-1.8","-3.43","-3.59","-2.89"
"length_rss16_14","-82.85","-1.92","-3.48","-4.59","-5.13","-5.05","-4.38","-1.12","0.63","-0.4","-0.94","-0.37","0.3","0.57","0.63","0.97","0.92","1.89","2.11","1.82","1.25","1.8","2.74","3.09","3.39","2.26"
"length_rss16_15","-58.36","9.13","6.35","2.38","1.47","4.77","5.58","4.25","4.49","7.61","7.08","4.09","0.62","-1.21","-0.58","-1.38","-1.91","-1.13","1.81","-0.06","-6.89","-10.87","-12.66","-11.53","-9.34","-6.07"
"length_rss16_16","-61.54","-10.73","-11.64","-10.51","-7.44","-7.09","-3.89","-3.49","-0.26","0.84","-2.51","-3.87","-3.87","-1.6","-0.55","1.22","2.3","3.16","5.55","7.66","8.02","7.56","6.31","6.98","7.19","7.78"
"length_rss16_17","-59.61","9.58","8.57","10.62","9.09","6.25","6.98","6.47","4.18","3.03","2.36","-1.6","-4.48","-6.86","-8.61","-8.91","-7.42","-6.02","-5.08","-7.84","-7.7","-6.37","-4.01","-1.16","1.26","2.73"
"length_rss16_18","-76.46","-2.92","-2.07","-0.15","0.43","0.58","1.24","0.69","0.25","-0.87","-0.89","-0.45","-0.65","-0.51","1.5","1.32","0.54","-0.74","-0.32","-0.62","0.1","0.05","0.13","-0.73","0.16","1.65"
"length_rss16_19","-85.48","-0.64","-1.58","-2.46","-2.07","-1.65","-2.67","-2.97","-2.73","-2.39","-1.99","-1.89","-1.86","-1.54","-0.82","0.18","2.17","1.84","2.67","3.09","2.19","1.09","0.93","1.43","2.29","1.99"
"length_rss16_20","-49.09","2.77","2.24","2.31","1.81","1.68","1.61","0.91","-1.15","-2.85","-2.2","0.66","0.54","-0.31","-0.33","0.4","1.6","0.68","-1.05","-0.61","0.19","-1.37","-2.28","-2.3","-3.2","-3.54"
"length_rss17_1","-63.09","4.04","3.77","1.09","-1.22","-1.45","-0.06","1.11","0.91","-0.29","-2.06","-3.11","-4.76","-4.18","-2.75","-2.99","-0.96","1.32","2.91","3.88","1.91","-0.67","-1.55","-0.31","1.59","3.78"
"length_rss17_2","-68.96","-3.55","-1.4","0.02","0.1","-0.26","-3.01","-2.9","-0.72","-0.84","-1.46","-1.65","-1.1","-0.57","-0.55","-0.44","-0.49","0.03","0.8","1.03","3.29","3.92","3.24","2.83","1.38","-0.01"
"length_rss17_3","-70.69","3.26","2.35","-0.0","-1.58","-1.71","-1.65","-0.44","0.02","-1.29","-1.58","-0.34","1.28","1.74","0.41","-1.09","-1.14","-0.75","-0.52","0.38","0.42","0.53","-0.01","0.21","0.23","-0.06"
"length_rss17_4","-68.9","0.16","-1.14","-2.06","-2.81","-2.22","-0.81","1.39","3.57","3.48","2.55","1.94","2.02","2.04","2.75","2.37","1.4","-0.11","-1.44","-2.17","-3.49","-3.07","-2.12","-1.85","-0.96","-0.24"
"length_rss17_5","-65.81","0.83","0.94","2.09","0.34","-3.12","-3.59","-1.05","0.74","0.87","-0.74","-2.05","-1.92","-0.28","0.43","1.24","2.1","1.13","-0.04","-1.29","-0.24","0.88","1.37","1.26","0.6","-0.04"
"length_rss17_6","-70.76","1.77","0.17","-1.19","-0.42","-0.28","0.4","-0.1","-1.0","-0.45","-0.3","1.23","1.76","2.27","2.54","1.43","1.36","0.93","0.23","0.51","0.22","-0.41","-2.31","-2.91","-2.92","-2.68"
"length_rss17_7","-56.84","0.37","-2.06","-7.12","-6.87","-2.82","2.05","3.96","-2.29","-6.0","-5.17","-6.45","-7.44","-3.94","0.97","2.72","4.04","3.28","2.32","3.09","3.27","2.43","3.27","5.87","4.91","5.97"
"length_rss17_8","-60.35","1.37","2.29","2.79","4.08","3.28","2.9","2.02","1.74","3.16","1.18","-1.36","0.1","-0.59","-0.72","0.46","-1.8","-3.29","-2.78","-1.72","-1.13","-2.81","-3.02","-1.96","-1.14","-2.04"
"length_rss17_9","-56.73","0.27","0.4","2.11","2.05","1.04","0.61","0.75","0.08","0.22","1.33","0.84","1.1","1.77","4.14","5.48","4.71","3.01","0.35","-5.17","-7.05","-6.68","-5.87","0.08","-0.34","-6.31"
"length_rss17_10","-60.07","-1.49","0.69","-0.09","-1.63","-2.51","-1.61","-1.4","0.7","0.98","-0.0","-0.69","-1.87","-2.27","-0.13","0.87","0.39","0.27","0.88","1.94","1.28","0.28","0.66","1.91","2.06","0.5"
"length_rss17_11","-64.22","-3.37","-1.56","-0.61","0.45","3.69","4.43","1.54","0.54","0.11","0.36","1.34","1.13","2.4","1.96","-0.08","-1.19","-1.82","-2.0","-1.5","-1.34","-1.36","-0.62","-0.51","-1.14","-1.26"
"length_rss17_12","-66.94","0.45","-0.1","-0.82","-1.3","-1.66","-2.47","-2.88","-2.64","-1.29","-0.57","0.24","1.12","1.72","1.33","1.36","1.25","0.5","0.68","0.7","-0.31","0.06","0.18","0.7","0.44","0.86"
"length_rss17_13","-67.6","2.12","3.63","2.09","2.4","2.57","3.23","2.09","2.05","2.45","1.59","1.49","1.33","1.67","2.95","2.32","1.54","-1.16","-2.14","-3.3","-4.47","-3.84","-4.19","-5.64","-6.49","-5.46"
"length_rss17_14","-63.42","2.28","-0.15","-0.85","1.95","0.79","-4.4","-6.86","-6.86","-5.19","-2.31","2.28","2.56","0.49","-0.44","0.59","1.9","1.14","-1.36","-2.6","-2.61","-0.77","3.11","5.05","5.25","4.54"
"length_rss17_15","-39.95","8.65","10.72","11.58","11.16","10.04","9.64","6.76","6.54","4.57","3.6","4.72","4.05","2.73","1.69","-1.2","-4.0","-6.29","-8.42","-9.92","-10.35","-10.73","-11.09","-11.34","-11.8","-11.78"
"length_rss17_16","-42.11","-14.0","-16.3","-19.56","-19.55","-15.55","-6.42","-1.54","-0.53","0.97","1.81","2.37","3.44","3.46","3.76","3.43","3.54","4.76","6.16","6.08","5.8","5.89","7.9","10.44","10.83","11.85"
"length_rss17_17","-41.24","12.38","9.14","6.77","5.69","4.95","4.9","5.93","7.36","8.83","9.3","6.78","2.65","-3.88","-10.54","-12.32","-8.85","-4.86","-3.92","-5.06","-6.02","-6.71","-6.33","-6.04","-6.12","-3.93"
"length_rss17_18","-65.69","-1.09","-0.06","0.03","0.19","1.42","1.49","1.3","2.66","2.09","1.35","0.28","0.36","1.1","0.58","0.35","0.04","-0.7","-1.57","-1.46","-1.29","-1.2","-1.26","-0.99","-0.49","-1.87"
"length_rss17_19","-74.1","-3.21","-2.11","-2.19","-0.98","0.08","0.17","-0.87","-1.31","-1.73","-2.16","-2.73","-3.23","-2.95","-1.28","0.22","1.12","2.1","1.95","3.88","3.77","3.56","2.91","1.12","0.1","0.83"
"length_rss17_20","-37.59","0.58","-0.57","-0.3","-0.79","0.27","0.45","1.11","2.34","3.09","3.97","4.26","2.87","2.02","1.93","0.53","-0.93","-1.04","-0.79","-1.64","-2.35","-3.12","-3.38","-3.75","-3.76","-3.47"
"length_rss18_1","-76.07","1.85","1.4","1.12","-0.05","-0.97","-0.6","-0.53","-0.34","0.54","0.58","-0.15","-1.25","-1.51","-0.1","0.47","-0.25","-0.85","-0.53","-0.15","0.15","0.46","0.72","0.75","0.31","-0.75"
"length_rss18_2","-78.86","-1.89","-2.13","-0.46","1.42","0.51","-0.16","0.45","1.46","1.22","1.33","0.83","0.49","1.0","-0.56","-1.63","-1.7","-2.13","-2.47","-0.47","-0.25","0.13","0.71","0.56","0.41","2.27"
"length_rss18_3","-84.1","1.03","0.02","-0.58","0.08","-0.32","-0.56","-1.3","-1.6","-2.44","-1.53","-0.64","-1.03","-1.76","-1.84","-0.48","1.38","2.66","2.07","0.48","0.39","0.07","1.25","0.7","-0.11","0.31"
"length_rss18_4","-83.1","1.27","1.25","0.4","0.91","0.09","-0.12","0.74","1.32","0.76","1.7","1.46","-0.75","-1.53","-0.4","0.55","0.55","0.88","-0.37","-1.7","-2.69","-1.99","-1.43","-0.77","-1.86","-2.79"
"length_rss18_5","-78.15","2.83","0.99","-1.25","-2.97","-3.59","-3.0","-2.42","-1.56","-1.7","-1.59","-0.56","-0.33","0.81","1.64","1.3","1.34","2.12","2.4","2.37","1.98","0.64","-0.27","-0.66","0.08","0.89"
"length_rss18_6","-82.46","-0.58","-1.07","-1.67","-1.44","-1.06","-1.29","-0.69","0.15","-0.85","-1.28","-0.39","0.77","1.38","1.76","1.17","1.2","1.8","1.31","1.59","2.29","1.92","-0.44","-2.22","-2.7","-3.37"
"length_rss18_7","-64.14","6.86","7.26","6.4","5.42","5.96","5.84","6.83","7.08","6.56","5.17","4.26","3.68","1.94","-0.61","-1.32","-1.92","-3.91","-5.72","-5.31","-6.54","-10.0","-10.81","-11.26","-10.6","-7.12"
"length_rss18_8","-54.18","0.86","4.17","3.49","-0.71","-1.29","1.76","4.02","3.25","2.87","2.29","2.18","0.41","-0.95","-2.9","-1.87","0.85","-1.82","-3.94","-1.05","-0.81","-1.46","-1.43","-1.97","-2.18","-2.79"
"length_rss18_9","-59.53","-9.93","-10.47","-9.94","-7.31","-6.94","-6.79","-6.15","-7.25","-6.98","-6.81","-5.85","-3.86","-1.57","0.55","1.6","2.49","3.3","6.72","10.81","10.86","11.02","12.02","11.33","9.25","8.87"
"length_rss18_10","-55.02","-1.08","-2.09","0.31","1.75","-0.0","-0.71","-0.54","-1.59","-2.62","-0.74","-0.39","-0.18","-0.79","-1.61","-2.38","-0.63","2.26","2.56","1.01","0.71","0.61","1.59","2.27","1.2","0.06"
"length_rss18_11","-60.79","-4.77","-3.38","-4.18","-4.11","-1.25","-0.43","-0.15","-0.76","0.57","1.39","2.36","1.24","-0.05","0.67","1.49","1.5","0.15","-0.83","-0.3","0.79","0.48","1.56","2.6","2.58","2.92"
"length_rss18_12","-64.6","2.98","1.83","1.4","0.95","-0.99","-2.67","-2.68","-1.73","-2.98","-3.24","-3.59","-3.47","-2.55","-2.1","-1.1","-0.44","1.36","1.91","0.97","1.3","2.63","2.71","1.62","1.68","2.19"
"length_rss18_13","-64.12","0.76","1.25","0.98","0.46","0.27","-0.0","-0.24","-0.73","-0.96","-0.27","1.17","1.47","2.01","1.72","1.81","1.17","0.22","-0.05","1.13","1.92","0.3","-2.0","-3.81","-4.76","-4.71"
"length_rss18_14","-59.07","-3.05","-5.91","-5.22","-2.45","-1.14","-2.58","-3.8","-3.28","-2.54","-3.15","-2.42","-2.29","-2.17","-2.25","0.01","0.97","1.39","1.4","3.94","5.59","5.57","5.47","4.42","4.5","5.16"
"length_rss18_15","-39.34","3.59","5.68","3.81","2.9","3.27","3.22","3.16","1.67","0.68","1.96","0.85","0.21","-0.5","-1.43","-0.58","0.02","-1.76","-1.37","-2.31","-3.11","-3.43","-3.55","-4.25","-4.63","-4.87"
"length_rss18_16","-31.58","1.59","-1.88","-5.22","-6.51","-5.53","-4.16","-2.01","-0.59","0.72","4.22","5.44","6.37","6.25","6.43","1.8","-2.99","-5.2","-5.6","-4.75","-3.17","-1.13","1.88","2.86","2.36","4.3"
"length_rss18_17","-35.01","3.79","2.05","-0.85","-4.21","-5.6","-5.87","-3.88","0.56","3.45","5.21","5.17","-0.3","-3.58","-3.49","-2.29","-1.02","-0.81","-0.04","0.31","-0.05","0.71","1.0","2.7","3.15","3.23"
"length_rss18_18","-45.26","-5.22","-4.54","-4.33","-3.72","-2.64","-1.86","-1.82","-1.08","0.75","0.15","-1.13","-0.11","-0.56","-0.34","2.08","2.45","2.42","2.2","2.63","3.04","1.75","1.7","1.01","0.55","0.9"
"length_rss18_19","-66.25","-5.5","-3.08","-2.34","-1.21","-0.62","-0.88","-0.16","-1.01","-1.32","-1.27","-0.53","0.78","1.71","2.48","1.97","1.02","1.24","1.64","1.46","2.16","0.62","-0.9","-0.56","0.68","1.61"
"length_rss18_20","-48.3","-11.26","-7.86","-5.69","-3.59","-2.36","-3.4","-3.25","-1.46","-0.43","1.19","1.86","0.6","1.0","2.82","1.48","0.89","0.66","1.23","1.92","2.05","1.47","1.86","5.07","4.79","4.43"
"length_rss19_1","-71.65","2.8","2.51","2.84","3.97","3.77","3.0","1.09","-0.91","-2.56","-2.99","-3.19","-3.05","-2.07","-0.9","-0.4","0.04","-0.17","-0.43","-0.63","-1.67","-1.25","-0.28","0.64","0.28","-0.32"
"length_rss19_2","-71.68","3.18","2.97","3.55","4.59","3.55","2.75","0.54","-1.34","-2.93","-2.84","-3.16","-3.06","-1.52","-0.59","-0.38","-0.14","-0.98","-0.84","-0.72","-1.69","-1.36","-0.19","0.82","0.09","-0.34"
"length_rss19_3","-80.31","-2.68","-1.69","-1.52","-0.79","-0.42","-0.14","-0.89","0.38","1.37","0.17","-0.78","-0.05","-0.76","-1.26","1.45","2.14","0.4","-0.57","0.45","0.78","1.0","1.95","1.76","0.66","-0.69"
"length_rss19_4","-78.44","2.02","1.78","1.23","0.05","2.07","1.94","1.5","0.62","0.22","-0.62","-0.87","-0.91","0.06","-0.71","-1.22","-0.42","-0.08","-1.21","-1.96","-3.2","-1.77","0.54","0.33","-0.2","-1.25"
"length_rss19_5","-75.17","-1.24","-3.23","-3.1","-1.77","-0.48","0.54","1.7","2.54","2.47","2.26","1.49","-1.33","-3.71","-3.94","-2.4","0.55","1.32","0.77","0.92","1.91","0.29","-0.39","1.37","2.31","1.05"
"length_rss19_6","-78.79","-2.37","-1.61","-0.36","0.63","0.64","0.68","0.7","-0.5","-0.02","1.16","0.51","0.46","1.13","1.43","1.54","1.32","1.02","1.36","1.17","0.3","-0.4","-0.66","-0.77","-2.4","-4.82"
"length_rss19_7","-57.59","11.69","12.94","10.46","9.08","8.51","8.71","6.87","4.93","5.16","4.65","0.23","-2.39","-3.81","-4.69","-1.67","-2.39","-4.66","-5.51","-6.83","-6.75","-5.33","-7.79","-9.68","-11.18","-12.32"
"length_rss19_8","-48.52","-10.03","-5.78","-6.81","-10.09","-8.74","-4.37","-3.06","-1.17","2.15","3.03","0.74","-0.31","0.07","1.71","3.76","4.46","3.75","4.19","6.19","4.73","3.86","3.54","1.63","0.65","2.91"
"length_rss19_9","-54.94","-2.8","-1.8","-1.84","-0.28","1.13","-1.7","-3.77","-5.62","-6.0","-5.67","-4.92","-3.21","-5.16","-5.16","-2.67","-0.31","-1.17","-1.85","1.34","3.54","5.78","8.37","8.74","10.39","12.48"
"length_rss19_10","-40.17","1.69","0.4","-0.33","0.86","2.15","2.19","1.43","0.92","0.09","-1.36","-3.09","-2.43","-0.83","0.27","-0.62","-2.09","-0.8","0.15","0.19","-0.27","0.3","0.08","0.23","-0.41","-0.15"
"length_rss19_11","-39.21","-0.07","-2.27","-4.22","-4.29","-2.77","-2.16","-1.66","-1.48","-1.12","-1.21","-1.79","-1.78","-1.38","-0.67","-0.09","0.17","0.42","1.32","2.19","2.27","1.6","3.33","4.29","4.65","4.63"
"length_rss19_12","-40.18","2.04","2.91","3.42","2.73","3.89","5.21","2.34","0.98","1.25","0.71","0.29","0.38","0.28","0.13","0.73","0.03","-0.94","-2.04","-2.94","-3.11","-3.39","-4.01","-4.05","-4.03","-4.85"
"length_rss19_13","-30.37","-0.4","-1.11","-3.07","-3.55","-3.67","-4.57","-5.74","-6.29","-5.73","-4.72","-4.19","-3.65","-1.41","-0.32","0.7","2.04","1.58","1.82","1.9","3.24","4.7","4.87","7.77","9.04","10.05"
"length_rss19_14","-35.41","3.32","2.9","2.49","1.2","1.8","2.23","1.72","1.92","1.91","1.67","0.85","0.2","-0.37","-1.05","-1.77","-2.15","-2.39","-2.53","-2.77","-2.31","-1.89","-1.59","-2.04","-2.01","-0.73"
"length_rss19_15","-58.03","2.44","4.23","3.89","-0.1","-0.69","-0.61","0.08","0.46","1.37","2.01","2.02","0.45","0.3","-0.4","-0.93","-1.24","-2.88","-4.15","-3.28","-1.85","-0.17","0.34","-0.14","-0.53","-0.81"
"length_rss19_16","-63.97","0.87","1.67","-0.95","-3.21","-2.16","-1.31","-0.15","0.9","-1.84","-2.8","-1.82","-0.23","0.21","-1.17","-1.43","-1.58","-0.92","0.54","1.95","2.76","2.28","1.41","2.93","3.71","1.66"
"length_rss19_17","-60.86","1.06","1.98","3.51","3.36","2.16","2.08","1.82","-0.22","-1.92","-2.04","-0.4","2.34","2.74","2.38","0.67","-3.18","-4.65","-5.01","-6.36","-5.04","-1.88","0.2","2.39","2.21","1.64"
"length_rss19_18","-61.8","1.02","0.99","2.48","2.33","1.57","0.25","-0.86","-2.03","-2.44","-2.85","-3.14","-3.07","-2.58","-2.46","-2.8","-2.53","-2.13","-1.67","-0.42","1.16","1.12","1.42","1.49","1.29","2.1"
"length_rss19_19","-58.58","-2.79","-3.22","-2.62","-1.83","-1.52","-1.71","-1.6","-1.36","-0.83","0.82","1.91","1.95","1.02","1.37","1.92","1.74","0.95","-0.73","-0.85","-0.44","0.89","1.4","1.4","1.02","0.99"
"length_rss19_20","-76.6","-8.94","-8.18","-6.57","-6.63","-5.25","-3.86","-1.83","-1.17","-2.53","-1.19","1.39","0.46","-0.47","2.44","4.06","2.49","1.64","2.44","4.2","4.82","3.67","3.68","5.11","4.4","4.14"
"length_rss20_1","-75.85","1.92","1.13","1.07","1.51","1.02","-1.6","-2.59","-2.64","-3.53","-5.16","-4.82","-4.18","-2.94","-0.59","0.16","-0.61","-0.21","0.84","1.41","1.38","1.64","1.8","3.72","5.24","5.11"
"length_rss20_2","-76.0","2.19","0.96","0.43","1.59","0.5","-2.5","-3.22","-3.05","-4.23","-5.92","-5.02","-3.9","-3.28","0.13","0.19","-0.47","0.35","1.17","1.63","1.39","1.71","2.15","4.42","5.51","4.58"
"length_rss20_3","-80.2","-2.25","-1.03","-1.87","-2.57","0.39","2.21","1.75","-0.35","0.03","0.18","-0.47","-1.01","-1.19","-1.22","-1.06","-1.04","-0.42","-0.83","0.36","1.99","3.58","1.4","1.25","1.21","-0.65"
"length_rss20_4","-75.68","3.3","3.13","2.48","2.89","2.29","1.01","-0.43","-0.38","-0.07","0.14","-0.14","-1.3","-1.3","0.02","0.6","1.18","0.65","0.41","-1.49","-3.08","-2.95","-2.07","-0.96","-1.58","-3.46"
"length_rss20_5","-72.14","-1.75","-3.19","-3.38","-3.45","-3.33","-2.62","-1.36","-0.87","-0.8","-1.34","-1.66","-1.66","-0.65","-0.2","0.07","0.49","0.5","0.29","1.23","2.68","2.46","3.23","3.96","5.17","5.43"
"length_rss20_6","-77.74","-0.42","-0.21","0.24","1.73","1.15","0.46","0.69","1.39","1.74","1.6","1.56","1.82","2.44","2.18","1.62","-0.25","-1.0","-1.06","-1.5","-1.48","-0.94","-1.23","-2.12","-3.07","-4.84"
"length_rss20_7","-59.56","11.91","11.81","9.98","8.6","7.8","8.26","10.23","10.67","10.17","8.23","5.27","3.01","0.87","-0.58","-4.02","-5.79","-5.82","-5.56","-6.99","-8.81","-11.21","-13.9","-15.49","-16.0","-15.29"
